cid_ibge,volumes_mes,volume_dia,volume_lw
1303205,10606.809523809523,353.56031746031744,141.42412698412699
1303304,7042.941176470588,234.76470588235296,93.90588235294119
1303403,28329.82857142857,944.327619047619,377.7310476190476
1303502,6010.0,200.33333333333334,80.13333333333334
1303536,19909.127659574468,663.6375886524822,265.4550354609929
1303569,13301.541666666666,443.3847222222222,177.3538888888889
1303601,13220.29411764706,440.6764705882353,176.27058823529413
1303700,6431.4857142857145,214.38285714285715,85.75314285714286
1303809,9817.09090909091,327.23636363636365,130.89454545454547
1303908,5104.3448275862065,170.14482758620687,68.05793103448275
1303957,6810.526315789473,227.01754385964912,90.80701754385966
1304005,9092.142857142857,303.07142857142856,121.22857142857143
1304062,9624.130434782608,320.80434782608694,128.3217391304348
1304104,4250.909090909091,141.6969696969697,56.67878787878788
